Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2017-12-12 07:09:11,10,0,0,1089,8854,-1,24,0,0,0,7177,61,0,25132,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:12,0,0,0,1126,8865,-1,0,47,0,0,312,1,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:13,0,0,0,1107,8865,-1,0,6,0,0,386,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:14,0,0,0,1106,8864,-1,0,6,0,0,286,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:15,0,0,0,1106,8864,-1,0,11,0,0,287,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:16,0,0,0,1106,8864,-1,0,6,0,0,286,1,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:17,0,0,0,1106,8864,-1,0,6,0,0,283,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:18,0,0,0,1106,8864,-1,0,216,0,0,286,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:19,0,0,0,1106,8864,-1,0,12,0,0,287,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:20,0,0,0,1106,8864,-1,0,6,0,0,286,1,0,188,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:21,0,0,0,1106,8864,-1,0,6,0,0,287,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:22,0,0,0,1069,8859,-1,0,6,0,0,430,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:23,2,0,0,1069,8859,-1,0,0,0,0,270,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:25,2,0,0,1069,8859,-1,0,0,0,0,268,1,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:26,2,0,0,1069,8859,-1,0,0,0,0,269,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:27,2,0,0,1069,8859,-1,0,0,0,0,268,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:28,2,0,0,1069,8859,-1,0,0,0,0,265,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:29,2,0,0,1069,8859,-1,0,0,0,0,268,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:30,3,0,0,1069,8859,-1,0,0,0,0,269,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:31,3,0,0,1069,8859,-1,0,0,0,0,654,1,0,1282,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:32,3,0,0,1069,8859,-1,0,0,0,0,269,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:33,3,0,0,1069,8859,-1,0,0,0,0,264,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:34,3,0,0,1069,8859,-1,0,0,0,0,269,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:35,3,0,0,1069,8859,-1,0,0,0,0,268,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:36,4,0,0,1069,8859,-1,0,0,0,0,269,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:37,4,0,0,1069,8859,-1,0,0,0,0,268,1,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:38,4,0,0,1069,8859,-1,0,0,0,0,265,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12 07:09:39,4,0,0,1069,8859,-1,0,0,0,0,268,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
